Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Sp4	1700029I15Rik	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	2310022B05Rik	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	6330416G13Rik	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	8430427H17Rik	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	9130023H24Rik	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	9430015G10Rik	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	Abhd15	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	Adarb1	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	Adck5	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	Adcy4	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	Aebp1	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	Ahsa2	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
Sp4	Akap12	-.25	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	0.0, 2.13782325176e-11, 2.13782325176e-11, 1.13823326131e-06, 0.000145089865741, 0.015172539773	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19	Sp4
